,,,,,% of FGA by Distance,,,,,,FG% by Distance,,,,,,% of FG Ast'd,,Dunks,,Corner,,Heaves,
Season,G,MP,FG%,Dist.,2P,0-3 ft,10-Mar,16-Oct,16-3pt,3P,2P,0-3,10-Mar,16-Oct,16-3pt,3P,2P,3P,%FGA,Md.,%3PA,3P%,Att.,Md.
2021,72,17381,0.466,14.1,0.608,0.254,0.186,0.096,0.072,0.392,0.53,0.675,0.428,0.435,0.409,0.367,0.502,0.826,0.054,303,0.222,0.395,10.5,0.3
2020,71,17061,0.46,13.9,0.616,0.282,0.165,0.093,0.077,0.384,0.524,0.667,0.396,0.416,0.404,0.358,0.504,0.815,0.059,330,0.211,0.39,13.9,0.3
2019,82,19818,0.461,13.5,0.641,0.292,0.162,0.096,0.092,0.359,0.52,0.658,0.4,0.413,0.401,0.355,0.513,0.823,0.058,380,0.214,0.383,15.7,0.5
2018,82,19795,0.46,13.2,0.663,0.281,0.156,0.106,0.12,0.337,0.51,0.658,0.394,0.415,0.4,0.362,0.499,0.83,0.053,331,0.208,0.394,17.5,0.2
2017,82,19815,0.457,13.3,0.684,0.29,0.152,0.099,0.142,0.316,0.503,0.631,0.414,0.412,0.403,0.358,0.495,0.835,0.051,332,0.228,0.388,16.8,0.3
2016,82,19826,0.452,12.5,0.715,0.293,0.158,0.103,0.162,0.285,0.491,0.624,0.396,0.405,0.398,0.354,0.51,0.836,0.048,304,0.248,0.377,14.7,0.5
2015,82,19839,0.449,12.4,0.732,0.29,0.164,0.103,0.175,0.268,0.485,0.627,0.384,0.403,0.394,0.35,0.52,0.843,0.047,293,0.254,0.387,14.4,0.4
2014,82,19841,0.454,12.8,0.741,0.286,0.169,0.105,0.18,0.259,0.488,0.636,0.39,0.401,0.395,0.36,0.518,0.837,0.048,301,0.248,0.39,14.8,0.5
2013,82,19817,0.453,12.6,0.757,0.293,0.164,0.107,0.193,0.243,0.483,0.631,0.381,0.395,0.393,0.359,0.535,0.851,0.052,318,0.268,0.39,14,0.3
2012,66,15966,0.448,12.5,0.774,0.287,0.169,0.11,0.208,0.226,0.477,0.634,0.378,0.388,0.388,0.349,0.518,0.843,0.05,244,0.261,0.376,10.1,0.3
2011,82,19836,0.459,12.6,0.778,0.276,0.178,0.11,0.214,0.222,0.487,0.65,0.392,0.398,0.403,0.358,0.518,0.86,0.049,297,0.27,0.394,15.7,0.5
2010,82,19820,0.461,12.2,0.778,0.32,0.129,0.11,0.218,0.222,0.492,0.613,0.421,0.4,0.402,0.355,0.505,0.847,0.048,293,0.258,0.392,15.9,0.6
2009,82,19826,0.459,12.4,0.776,0.314,0.124,0.111,0.227,0.224,0.485,0.602,0.412,0.395,0.407,0.367,0.501,0.859,0.051,312,0.274,0.395,14.8,0.3
2008,82,19801,0.457,12.5,0.778,0.308,0.124,0.111,0.235,0.222,0.484,0.607,0.408,0.391,0.409,0.362,0.523,0.867,0.051,309,0.264,0.395,15.6,0.3
2007,82,19856,0.458,12.2,0.787,0.314,0.131,0.113,0.229,0.213,0.485,0.61,0.411,0.392,0.404,0.358,0.527,0.863,0.046,277,0.271,0.384,12.6,0.3
2006,82,19853,0.454,12.2,0.798,0.309,0.133,0.119,0.236,0.202,0.478,0.601,0.4,0.391,0.405,0.358,0.523,0.851,0.049,288,0.27,0.39,12.4,0.3
2005,82,19838,0.447,12.1,0.804,0.304,0.135,0.129,0.236,0.196,0.47,0.596,0.391,0.383,0.4,0.356,0.544,0.854,0.051,305,0.272,0.384,12.1,0.1
2004,82,19825,0.439,12,0.813,0.297,0.147,0.141,0.229,0.187,0.46,0.592,0.382,0.377,0.388,0.347,0.565,0.857,0.047,280,0.261,0.378,11.6,0.3
2003,82,19841,0.442,12.1,0.818,0.286,0.15,0.146,0.236,0.182,0.463,0.603,0.384,0.388,0.389,0.349,0.56,0.852,0.047,285,0.257,0.369,12,0.2
2002,82,19816,0.445,12,0.819,0.287,0.148,0.153,0.23,0.181,0.465,0.605,0.382,0.388,0.397,0.354,0.564,0.856,0.048,291,0.235,0.384,10.8,0.3
2001,82,19840,0.443,12,0.83,0.273,0.168,0.158,0.232,0.17,0.461,0.619,0.359,0.385,0.4,0.354,0.572,0.852,0.036,212,0.239,0.381,10.3,0.4